city,size_sqm,rooms,age_years,floor,has_balcony,has_parking,has_elevator,distance_cbd_km,district_score,price_per_sqm,total_price_eur,monthly_rent_eur,city_encoded
Frankfurt,34.6,1,24,9,0,0,1,4.32,8.36,8235.03,285100.0,1018.0,3
Stuttgart,104.1,3,44,8,1,0,1,11.35,5.1,6356.08,661800.0,2364.0,7
Berlin,56.6,2,48,9,0,0,1,4.0,8.2,5603.23,317300.0,1133.0,0
Frankfurt,54.7,2,15,5,1,1,1,14.01,6.83,7632.92,417900.0,1492.0,3
Hamburg,80.0,3,18,6,0,1,1,2.49,1.03,7429.23,594400.0,2123.0,4
Berlin,103.7,3,22,9,1,0,1,2.6,3.28,6335.28,657100.0,2347.0,0
Hamburg,49.6,2,24,7,0,0,1,5.91,5.45,6966.82,345600.0,1234.0,4
Berlin,76.5,3,15,10,1,0,1,4.51,6.57,7483.19,572800.0,2046.0,0
Berlin,85.7,3,53,9,1,0,1,8.36,1.59,5389.22,462000.0,1650.0,0
Leipzig,92.3,3,72,0,1,1,0,3.62,7.35,2598.9,240000.0,857.0,5
Leipzig,79.4,3,0,7,0,1,1,2.1,5.89,4776.58,379300.0,1355.0,5
Stuttgart,65.8,2,41,3,0,0,0,5.08,5.73,6143.4,404400.0,1444.0,7
Munich,54.3,2,18,9,1,1,1,6.59,3.63,11102.76,603000.0,2154.0,6
Berlin,77.2,3,33,7,0,0,1,1.23,6.35,7348.55,567000.0,2025.0,0
Cologne,48.2,2,79,5,0,1,1,6.51,1.25,4400.4,212100.0,757.0,1
Frankfurt,25.0,1,54,10,0,0,1,3.08,1.58,6580.85,164500.0,588.0,3
Berlin,85.9,3,17,8,1,0,1,3.99,7.6,6093.12,523500.0,1870.0,0
Frankfurt,97.6,3,33,10,0,0,1,2.62,3.9,6614.59,645600.0,2306.0,3
Berlin,25.0,1,44,3,0,0,0,21.44,4.12,3328.93,83200.0,297.0,0
Düsseldorf,49.8,2,5,1,0,1,0,9.2,2.88,7256.07,361000.0,1289.0,2
Munich,90.5,3,20,1,0,1,0,2.44,5.01,10390.01,940100.0,3357.0,6
Cologne,126.4,4,69,4,0,0,1,8.29,1.47,3519.73,445000.0,1589.0,1
Munich,75.5,3,47,9,0,1,1,15.1,3.7,9545.74,720900.0,2575.0,6
Hamburg,56.8,2,38,8,1,0,1,4.11,5.74,6365.93,361600.0,1291.0,4
Hamburg,70.4,2,30,11,1,1,1,14.17,5.19,7438.01,523800.0,1871.0,4
Berlin,109.4,4,9,2,1,0,0,1.34,10.0,7588.75,830000.0,2964.0,0
Leipzig,58.9,2,29,7,1,0,1,13.84,4.5,2745.83,161600.0,577.0,5
Cologne,55.0,2,17,3,0,0,0,6.22,4.48,6406.87,352500.0,1259.0,1
Düsseldorf,62.9,2,59,5,0,0,1,2.02,5.53,6282.15,395300.0,1412.0,2
Düsseldorf,51.2,2,72,9,0,1,1,4.18,2.71,6346.45,324700.0,1160.0,2
Hamburg,78.1,3,14,5,1,0,1,35.38,8.89,5185.58,404800.0,1446.0,4
Düsseldorf,115.6,4,3,2,1,0,0,12.24,6.15,6253.18,723000.0,2582.0,2
Berlin,83.1,3,62,4,1,0,1,6.85,2.73,5032.73,418100.0,1493.0,0
Berlin,68.7,2,39,11,1,1,1,0.98,8.14,6280.35,431400.0,1541.0,0
Berlin,67.7,2,8,2,1,1,0,4.33,1.31,6281.65,425300.0,1519.0,0
Munich,35.9,1,8,10,0,0,1,2.44,9.84,11792.49,423600.0,1513.0,6
Frankfurt,97.1,3,25,10,1,0,1,0.59,8.79,9648.18,936600.0,3345.0,3
Munich,73.1,2,3,0,0,1,0,6.25,6.22,10883.45,795100.0,2840.0,6
Stuttgart,70.5,2,15,6,1,0,1,17.6,2.0,6468.86,456000.0,1628.0,7
Munich,154.8,5,14,3,0,0,0,9.01,2.94,8675.1,1343100.0,4797.0,6
Munich,82.5,3,51,6,0,0,1,2.3,3.51,9824.28,810200.0,2894.0,6
Hamburg,56.2,2,68,2,0,0,0,6.82,3.17,4522.03,254200.0,908.0,4
Berlin,64.3,2,4,11,0,0,1,22.95,5.48,5263.66,338700.0,1210.0,0
Stuttgart,103.7,3,19,10,0,1,1,10.27,9.5,7967.48,826300.0,2951.0,7
Berlin,77.8,3,78,4,0,0,1,9.36,5.0,3864.04,300700.0,1074.0,0
Leipzig,39.0,1,17,4,0,1,1,27.58,6.95,2401.39,93800.0,335.0,5
Cologne,98.0,3,1,1,1,0,0,12.83,7.2,5901.84,578300.0,2065.0,1
Berlin,58.3,2,12,10,1,1,1,1.18,8.84,7892.53,460100.0,1643.0,0
Berlin,121.8,4,3,9,1,0,1,3.42,1.3,6215.93,757300.0,2705.0,0
Stuttgart,102.0,3,41,11,0,0,1,26.85,4.64,5894.29,601200.0,2147.0,7
Cologne,63.8,2,73,1,1,0,0,5.38,8.06,5788.75,369400.0,1319.0,1
Cologne,107.0,4,60,3,0,0,0,0.95,8.33,5402.19,578200.0,2065.0,1
Cologne,76.7,3,7,3,0,0,0,4.91,9.35,7133.2,547100.0,1954.0,1
Berlin,96.3,3,66,3,1,1,0,9.55,7.33,5681.16,547200.0,1954.0,0
Munich,87.1,3,62,5,1,0,1,40.0,3.21,6169.57,537500.0,1920.0,6
Berlin,53.8,2,8,1,0,1,0,3.13,5.55,6643.96,357700.0,1278.0,0
Düsseldorf,58.9,2,10,5,1,1,1,5.77,1.29,5708.45,336300.0,1201.0,2
Hamburg,100.7,3,41,6,0,0,1,16.94,6.82,5855.32,589900.0,2107.0,4
Munich,66.6,2,12,10,1,1,1,3.51,5.99,10878.51,724800.0,2589.0,6
Berlin,64.9,2,35,9,0,0,1,0.93,7.0,6139.59,398500.0,1423.0,0
Munich,51.1,2,12,2,1,0,0,23.8,9.37,9434.85,482300.0,1723.0,6
Munich,85.6,3,11,10,0,0,1,5.36,7.19,10884.23,931600.0,3327.0,6
Cologne,126.6,4,36,11,0,0,1,5.59,3.88,6199.23,784600.0,2802.0,1
Hamburg,48.3,2,73,7,1,0,1,7.77,2.79,5979.02,288900.0,1032.0,4
Düsseldorf,75.6,3,72,1,1,1,0,0.5,8.69,7070.7,534600.0,1909.0,2
Frankfurt,110.3,4,51,10,1,0,1,21.4,2.75,6736.28,743000.0,2654.0,3
Berlin,73.0,2,70,7,0,0,1,3.59,2.45,5621.53,410400.0,1466.0,0
Cologne,86.3,3,1,10,0,1,1,4.05,2.86,6685.17,577000.0,2061.0,1
Cologne,48.4,2,55,4,1,0,1,1.53,5.58,6192.74,300000.0,1071.0,1
Hamburg,85.7,3,59,1,1,0,0,3.8,2.12,5836.29,500200.0,1786.0,4
Cologne,70.3,2,22,6,1,1,1,13.03,9.44,7481.49,526100.0,1879.0,1
Frankfurt,99.6,3,39,1,0,0,0,12.88,9.7,7499.13,747200.0,2669.0,3
Hamburg,104.7,3,63,5,0,0,1,21.97,9.76,5467.99,572400.0,2044.0,4
Frankfurt,139.7,5,22,9,1,0,1,4.13,1.35,7170.98,1002100.0,3579.0,3
Berlin,89.5,3,28,2,0,0,0,9.87,9.52,6439.04,576200.0,2058.0,0
Berlin,83.1,3,77,8,0,1,1,5.66,9.98,5519.36,458900.0,1639.0,0
Berlin,79.9,3,50,2,0,1,0,13.04,9.48,5196.61,415000.0,1482.0,0
Hamburg,66.2,2,68,10,0,0,1,9.97,7.04,6878.07,455100.0,1625.0,4
Munich,83.5,3,30,11,0,0,1,3.67,7.31,10813.07,902500.0,3223.0,6
Frankfurt,67.6,2,49,11,0,0,1,3.28,2.1,7807.72,527900.0,1885.0,3
Düsseldorf,79.2,3,19,2,1,1,0,2.33,8.87,8312.02,658400.0,2351.0,2
Munich,107.9,4,54,4,0,0,1,6.87,1.54,8208.2,886000.0,3164.0,6
Frankfurt,49.8,2,1,6,1,0,1,26.56,3.86,6096.7,303800.0,1085.0,3
Cologne,103.5,3,24,7,1,1,1,1.79,9.92,8217.34,850500.0,3037.0,1
Munich,107.9,4,12,11,1,1,1,0.8,4.8,11754.89,1268700.0,4531.0,6
Berlin,72.0,2,69,10,0,0,1,1.02,2.18,3528.76,254200.0,908.0,0
Munich,25.0,1,66,6,1,0,1,12.23,9.72,9337.61,233400.0,834.0,6
Berlin,59.8,2,57,8,1,0,1,3.45,9.86,6484.96,387800.0,1385.0,0
Düsseldorf,107.4,4,74,4,1,0,1,2.03,2.68,5826.73,625900.0,2235.0,2
Stuttgart,74.4,2,63,9,1,1,1,3.48,8.78,8009.38,596100.0,2129.0,7
Hamburg,50.0,2,68,10,1,1,1,8.29,4.51,8030.78,401700.0,1435.0,4
Düsseldorf,62.4,2,58,2,0,1,0,6.33,4.43,5000.45,311900.0,1114.0,2
Stuttgart,96.0,3,59,5,0,0,1,10.89,3.36,4700.37,451300.0,1612.0,7
Berlin,88.7,3,61,4,1,0,1,3.31,1.4,4530.2,401700.0,1435.0,0
Düsseldorf,69.0,2,15,11,0,0,1,4.81,3.41,5543.61,382700.0,1367.0,2
Hamburg,65.8,2,67,3,0,0,0,0.86,1.48,5672.44,373400.0,1334.0,4
Stuttgart,65.2,2,14,11,1,1,1,0.61,9.32,8853.63,577300.0,2062.0,7
Düsseldorf,51.9,2,54,1,0,0,0,4.96,6.96,6091.98,316400.0,1130.0,2
Munich,115.4,4,34,6,0,0,1,2.87,8.98,11515.51,1328700.0,4745.0,6
Berlin,66.9,2,54,4,1,0,1,7.59,7.46,5661.13,379000.0,1353.0,0
Munich,105.4,4,13,3,1,0,0,0.5,2.18,10318.41,1087900.0,3885.0,6
Frankfurt,113.0,4,48,11,0,0,1,1.04,9.47,8633.05,975800.0,3485.0,3
Stuttgart,100.0,3,6,7,0,1,1,16.03,9.1,6897.64,689500.0,2462.0,7
Düsseldorf,64.2,2,29,8,1,0,1,6.68,4.13,6321.6,405900.0,1450.0,2
Berlin,85.1,3,48,8,0,1,1,9.96,2.0,4717.95,401500.0,1434.0,0
Frankfurt,74.4,2,15,2,1,0,0,14.76,7.34,7264.89,540500.0,1930.0,3
Frankfurt,52.4,2,50,2,0,0,0,4.99,7.56,6958.41,364700.0,1302.0,3
Munich,83.1,3,71,4,1,1,1,11.45,9.07,9681.91,804700.0,2874.0,6
Berlin,45.5,2,79,4,1,0,1,5.95,1.47,3336.06,151900.0,542.0,0
Munich,104.7,3,41,9,0,1,1,2.02,2.28,10073.23,1054600.0,3766.0,6
Leipzig,63.4,2,16,1,1,0,0,3.3,6.38,4640.11,294100.0,1050.0,5
Munich,80.0,3,62,0,1,0,0,5.39,6.57,8445.17,675900.0,2414.0,6
Frankfurt,82.1,3,44,7,0,1,1,3.05,1.3,6774.18,556000.0,1986.0,3
Cologne,68.5,2,76,2,0,1,0,3.27,4.57,6130.88,420100.0,1500.0,1
Munich,89.7,3,6,0,1,1,0,3.29,6.26,11115.15,996700.0,3560.0,6
Leipzig,63.1,2,26,0,0,0,0,1.05,7.64,4210.34,265800.0,949.0,5
Leipzig,96.8,3,9,10,1,0,1,0.71,3.85,5940.8,575000.0,2053.0,5
Munich,41.4,1,33,1,1,1,0,0.5,5.36,10939.58,452400.0,1616.0,6
Frankfurt,78.2,3,35,5,1,1,1,0.94,8.33,9108.86,711900.0,2543.0,3
Munich,123.5,4,24,5,1,0,1,3.37,9.59,10931.69,1349800.0,4821.0,6
Munich,50.0,2,5,2,0,0,0,7.21,3.07,9954.11,497600.0,1777.0,6
Berlin,58.1,2,23,11,1,1,1,1.67,3.28,6591.65,382700.0,1367.0,0
Hamburg,87.8,3,17,3,0,0,0,17.51,9.46,7432.28,652900.0,2332.0,4
Frankfurt,79.5,3,5,11,1,0,1,13.22,4.56,8570.33,681300.0,2433.0,3
Berlin,83.8,3,28,1,0,1,0,5.88,7.47,5925.47,496400.0,1773.0,0
Munich,87.2,3,24,1,0,0,0,10.3,6.51,9898.73,863500.0,3084.0,6
Düsseldorf,90.9,3,54,6,0,0,1,3.65,3.57,4428.74,402400.0,1437.0,2
Munich,102.7,3,45,0,1,1,0,0.5,6.88,9367.38,962400.0,3437.0,6
Berlin,85.2,3,23,6,1,0,1,18.78,6.9,5889.93,502100.0,1793.0,0
Frankfurt,69.0,2,74,11,1,1,1,1.09,6.33,6477.31,446700.0,1595.0,3
Leipzig,91.8,3,25,11,0,0,1,23.64,1.9,2246.46,206300.0,737.0,5
Munich,122.5,4,27,0,1,0,0,6.79,9.96,10651.04,1304700.0,4660.0,6
Cologne,71.7,2,2,5,0,0,1,2.92,4.6,7240.11,519000.0,1854.0,1
Cologne,50.6,2,74,2,0,1,0,5.47,6.74,5126.95,259600.0,927.0,1
Munich,102.7,3,37,7,1,0,1,5.57,8.97,12086.58,1241000.0,4432.0,6
Cologne,72.0,2,60,5,0,0,1,0.5,4.81,5333.39,384000.0,1371.0,1
Munich,25.0,1,77,10,0,0,1,3.51,7.97,10646.47,266200.0,951.0,6
Hamburg,96.2,3,50,1,0,0,0,10.77,9.75,5743.62,552500.0,1973.0,4
Hamburg,61.6,2,47,7,1,0,1,5.71,4.23,5539.62,341300.0,1219.0,4
Hamburg,72.7,2,20,4,1,0,1,2.24,4.65,7700.4,560100.0,2000.0,4
Berlin,83.3,3,53,7,1,0,1,3.27,9.15,5429.47,452300.0,1615.0,0
Stuttgart,79.8,3,55,7,0,0,1,15.91,2.44,4670.24,372500.0,1330.0,7
Munich,92.7,3,58,5,0,1,1,5.96,1.26,8875.22,823100.0,2939.0,6
Berlin,64.1,2,71,1,1,1,0,6.01,9.18,5922.51,379700.0,1356.0,0
Berlin,87.8,3,50,7,0,0,1,26.05,8.39,3438.35,302000.0,1079.0,0
Hamburg,68.5,2,19,10,1,0,1,3.1,9.75,9144.72,626500.0,2238.0,4
Cologne,93.5,3,58,5,0,1,1,5.22,1.52,5448.77,509300.0,1819.0,1
Berlin,90.4,3,70,5,0,1,1,13.36,2.41,3750.92,339000.0,1211.0,0
Frankfurt,51.6,2,8,7,0,0,1,11.38,1.95,7201.08,371700.0,1327.0,3
Munich,102.1,3,0,0,0,1,0,2.47,7.15,10702.25,1093200.0,3904.0,6
Hamburg,61.6,2,28,1,1,0,0,1.31,6.45,7361.31,453500.0,1620.0,4
Berlin,95.2,3,62,11,1,0,1,9.65,4.23,4070.83,387500.0,1384.0,0
Cologne,84.2,3,71,11,0,0,1,2.38,1.52,6173.61,519700.0,1856.0,1
Frankfurt,121.0,4,55,8,1,1,1,20.48,6.76,7505.29,907800.0,3242.0,3
Düsseldorf,69.4,2,67,10,1,0,1,1.11,6.13,7437.09,516200.0,1844.0,2
Berlin,66.3,2,34,11,0,1,1,3.07,2.02,6448.33,427300.0,1526.0,0
Munich,74.5,2,2,7,1,0,1,0.5,9.18,11820.54,880800.0,3146.0,6
Berlin,67.4,2,6,11,0,0,1,9.72,2.79,4621.95,311600.0,1113.0,0
Düsseldorf,95.0,3,26,6,0,0,1,17.75,7.69,5538.0,526100.0,1879.0,2
Düsseldorf,34.6,1,0,6,0,1,1,8.08,8.97,8052.44,278600.0,995.0,2
Munich,48.7,2,79,4,0,0,1,22.21,6.22,7629.54,371200.0,1326.0,6
Hamburg,48.3,2,70,1,0,0,0,1.1,3.22,4460.99,215500.0,770.0,4
Stuttgart,98.8,3,43,10,0,0,1,0.73,3.78,7024.46,693700.0,2478.0,7
Hamburg,117.8,4,40,5,0,1,1,14.58,8.97,6259.45,737100.0,2633.0,4
Hamburg,72.4,2,74,9,1,0,1,15.48,3.68,5293.66,383200.0,1369.0,4
Munich,70.8,2,41,2,0,0,0,14.22,7.72,10295.12,728700.0,2602.0,6
Berlin,76.8,3,32,3,0,0,0,12.83,9.91,5432.77,417000.0,1489.0,0
Düsseldorf,104.0,3,49,9,1,1,1,3.6,10.0,8329.84,866700.0,3095.0,2
Düsseldorf,51.8,2,62,11,1,1,1,1.96,5.8,7081.39,366900.0,1310.0,2
Hamburg,81.0,3,36,10,0,1,1,21.14,8.44,6330.59,512500.0,1830.0,4
Munich,99.4,3,58,1,1,0,0,2.93,9.91,10861.09,1079400.0,3855.0,6
Munich,87.5,3,47,1,0,0,0,4.07,4.37,9239.8,808700.0,2888.0,6
Cologne,79.7,3,4,11,0,1,1,9.62,3.27,5489.8,437800.0,1563.0,1
Düsseldorf,100.0,3,47,7,1,0,1,2.78,2.03,4866.63,486800.0,1739.0,2
Düsseldorf,25.0,1,2,7,0,0,1,13.68,2.27,5949.83,148700.0,531.0,2
Cologne,91.9,3,46,9,1,0,1,0.58,8.68,8239.1,757600.0,2706.0,1
Hamburg,58.6,2,61,5,0,1,1,12.53,6.3,5793.55,339800.0,1214.0,4
Berlin,29.2,1,13,4,1,0,1,7.37,8.86,6045.83,176700.0,631.0,0
Berlin,87.8,3,62,7,0,0,1,6.81,8.11,5538.98,486200.0,1736.0,0
Düsseldorf,109.3,4,60,3,1,1,0,4.91,7.06,5520.67,603600.0,2156.0,2
Hamburg,71.6,2,30,10,1,0,1,2.6,6.48,9511.89,680700.0,2431.0,4
Berlin,98.8,3,16,3,1,0,0,4.99,1.44,4637.71,458300.0,1637.0,0
Berlin,115.3,4,23,4,1,1,1,4.78,8.85,6705.07,773100.0,2761.0,0
Cologne,107.9,4,22,0,0,1,0,7.01,4.76,5229.23,564100.0,2015.0,1
Berlin,116.0,4,49,0,1,1,0,2.65,6.04,6258.07,725900.0,2593.0,0
Berlin,93.6,3,77,1,1,1,0,0.65,1.2,5717.22,534900.0,1910.0,0
Hamburg,76.9,3,78,7,0,0,1,1.25,9.42,6808.17,523500.0,1869.0,4
Cologne,35.0,1,78,6,0,1,1,9.61,9.12,6077.6,212400.0,759.0,1
Hamburg,68.8,2,69,9,0,0,1,0.5,5.89,6168.57,424700.0,1517.0,4
Munich,53.9,2,26,8,0,1,1,15.53,6.2,10676.55,575700.0,2056.0,6
Cologne,129.3,4,14,4,1,1,1,9.48,7.35,7910.44,1022600.0,3652.0,1
Munich,70.6,2,49,1,1,1,0,11.69,3.38,10016.93,707200.0,2526.0,6
Munich,78.1,3,35,6,0,1,1,14.46,3.0,9392.21,733300.0,2619.0,6
Cologne,88.8,3,7,7,0,1,1,1.05,7.07,6864.44,609500.0,2177.0,1
Hamburg,76.1,3,78,11,0,0,1,13.83,1.94,5077.38,386300.0,1380.0,4
Stuttgart,117.4,4,2,6,1,1,1,5.62,5.09,7635.46,896200.0,3201.0,7
Hamburg,59.4,2,61,6,1,0,1,17.34,5.43,5581.13,331700.0,1185.0,4
Hamburg,79.9,3,46,11,1,0,1,17.41,4.43,6366.6,508500.0,1816.0,4
Berlin,56.4,2,76,4,0,0,1,0.5,2.67,4328.21,244300.0,872.0,0
Munich,42.0,1,60,1,0,0,0,3.86,4.2,9401.41,394900.0,1410.0,6
Munich,59.7,2,31,5,1,1,1,5.98,4.04,10945.12,653500.0,2334.0,6
Munich,74.1,2,12,3,1,1,0,9.07,5.49,10611.16,786000.0,2807.0,6
Leipzig,64.3,2,0,9,0,0,1,2.7,7.07,5366.57,344900.0,1232.0,5
Frankfurt,57.7,2,33,1,0,0,0,2.32,9.71,8779.42,506500.0,1809.0,3
Düsseldorf,39.8,1,61,11,1,0,1,3.84,2.3,5395.33,215000.0,768.0,2
Hamburg,72.9,2,78,8,0,1,1,5.56,8.86,7243.01,528200.0,1886.0,4
Stuttgart,37.4,1,77,6,0,0,1,24.15,3.56,3097.24,115800.0,414.0,7
Frankfurt,94.0,3,70,5,0,1,1,11.49,6.32,6916.94,650200.0,2322.0,3
Hamburg,77.1,3,30,11,0,1,1,4.49,5.92,8115.82,625400.0,2234.0,4
Frankfurt,38.6,1,63,4,1,0,1,0.5,6.01,7732.78,298200.0,1065.0,3
Berlin,67.3,2,24,2,1,1,0,1.48,7.51,6112.41,411200.0,1469.0,0
Cologne,56.2,2,37,11,0,1,1,4.87,4.44,6704.13,376700.0,1346.0,1
Munich,83.0,3,13,9,1,1,1,13.45,3.87,10546.27,875100.0,3125.0,6
Berlin,108.5,4,7,9,0,0,1,3.83,8.68,7568.63,821300.0,2933.0,0
Hamburg,28.1,1,53,3,0,0,0,6.19,2.98,5563.02,156400.0,559.0,4
Berlin,77.9,3,1,2,0,1,0,17.79,2.62,5136.2,400000.0,1429.0,0
Leipzig,71.0,2,77,11,1,0,1,19.61,1.14,1659.64,117800.0,426.0,5
Leipzig,91.8,3,55,10,1,1,1,1.94,2.9,4870.37,447000.0,1596.0,5
Düsseldorf,80.3,3,60,7,0,0,1,0.5,5.67,6040.23,485200.0,1733.0,2
Munich,56.2,2,21,2,1,0,0,2.92,5.85,10224.22,574600.0,2052.0,6
Berlin,67.0,2,34,6,0,0,1,9.52,3.29,4486.24,300700.0,1074.0,0
Düsseldorf,55.1,2,15,6,0,0,1,24.15,1.65,3770.43,207700.0,742.0,2
Frankfurt,101.9,3,49,6,1,0,1,0.64,7.7,7855.17,800400.0,2859.0,3
Leipzig,75.5,3,42,6,0,0,1,0.5,7.82,2939.56,222000.0,793.0,5
Leipzig,122.5,4,16,1,1,0,0,17.24,9.98,4636.28,568100.0,2029.0,5
Stuttgart,73.5,2,79,9,1,1,1,11.03,9.1,7727.98,567900.0,2028.0,7
Munich,57.3,2,57,2,0,1,0,38.88,9.33,7527.35,431200.0,1540.0,6
Frankfurt,37.2,1,1,9,0,0,1,4.04,8.18,9140.43,339600.0,1213.0,3
Stuttgart,29.9,1,3,8,1,0,1,4.3,6.54,7965.24,238300.0,851.0,7
Munich,35.4,1,38,2,0,0,0,1.51,2.16,8543.37,302400.0,1080.0,6
Berlin,81.7,3,5,1,1,0,0,0.99,6.6,7165.1,585200.0,2090.0,0
Hamburg,87.7,3,68,8,1,0,1,6.92,1.5,6626.67,581300.0,2076.0,4
Düsseldorf,35.5,1,68,9,1,0,1,3.62,8.97,6053.67,214700.0,767.0,2
Cologne,97.4,3,19,8,0,0,1,0.67,5.34,6786.9,660900.0,2360.0,1
Hamburg,62.9,2,63,3,1,1,0,17.44,7.28,6020.89,378900.0,1353.0,4
Berlin,78.7,3,15,11,0,0,1,1.77,1.47,6457.09,508000.0,1814.0,0
Hamburg,115.3,4,50,8,0,1,1,11.05,5.81,6812.14,785500.0,2805.0,4
Leipzig,97.4,3,36,2,0,0,0,2.65,3.71,3130.34,305000.0,1089.0,5
Berlin,68.3,2,72,6,1,1,1,13.41,3.56,5477.45,374000.0,1336.0,0
Frankfurt,52.7,2,68,6,1,0,1,1.01,4.51,6363.34,335500.0,1198.0,3
Düsseldorf,25.0,1,41,10,1,0,1,11.29,1.01,5424.9,135600.0,484.0,2
Cologne,57.0,2,56,7,0,0,1,0.83,5.2,5741.09,327400.0,1169.0,1
Cologne,69.7,2,65,9,0,0,1,4.74,5.38,4947.03,344900.0,1232.0,1
Cologne,50.3,2,8,3,0,0,0,10.59,8.77,7428.63,373800.0,1335.0,1
Munich,71.7,2,63,2,0,0,0,1.52,5.04,9500.8,681400.0,2434.0,6
Munich,76.9,3,21,2,1,1,0,2.69,4.27,11094.73,853400.0,3048.0,6
Stuttgart,69.4,2,33,11,0,0,1,16.01,9.95,7223.77,501200.0,1790.0,7
Stuttgart,58.7,2,54,4,0,1,1,17.31,6.14,5339.98,313700.0,1120.0,7
Düsseldorf,79.2,3,28,10,1,0,1,0.5,5.25,7934.69,628600.0,2245.0,2
Düsseldorf,86.0,3,37,0,1,1,0,1.47,5.46,7275.96,626100.0,2236.0,2
Frankfurt,47.7,2,17,9,0,0,1,1.0,8.28,8713.64,416000.0,1486.0,3
Frankfurt,110.3,4,70,2,0,0,0,1.58,4.07,6828.09,753000.0,2689.0,3
Stuttgart,72.5,2,64,5,1,0,1,28.1,4.5,4848.19,351700.0,1256.0,7
Hamburg,75.5,3,0,2,0,0,0,6.42,7.8,8268.17,624000.0,2229.0,4
Cologne,92.7,3,3,4,1,0,1,5.05,1.66,5527.06,512400.0,1830.0,1
Stuttgart,80.8,3,3,8,1,0,1,33.32,8.79,5894.68,476500.0,1702.0,7
Düsseldorf,98.8,3,26,1,0,1,0,6.51,4.87,6419.14,634400.0,2266.0,2
Munich,82.2,3,42,10,0,1,1,8.66,6.23,10556.42,867500.0,3098.0,6
Munich,59.7,2,58,1,0,0,0,3.24,7.82,9275.05,553600.0,1977.0,6
Berlin,84.0,3,31,11,1,1,1,3.85,3.39,6098.94,512500.0,1830.0,0
Hamburg,46.4,2,32,5,1,1,1,7.22,9.01,8501.89,394500.0,1409.0,4
Berlin,77.7,3,27,5,1,1,1,0.58,9.81,6570.52,510600.0,1824.0,0
Frankfurt,74.2,2,54,10,1,0,1,2.36,5.45,7715.17,572200.0,2044.0,3
Hamburg,69.8,2,59,10,1,0,1,1.75,9.43,8477.56,591700.0,2113.0,4
Munich,71.8,2,69,7,1,0,1,0.5,1.01,9443.59,677900.0,2421.0,6
Hamburg,28.0,1,61,11,1,1,1,6.16,9.05,7529.5,210500.0,752.0,4
Berlin,61.3,2,79,10,1,0,1,6.59,3.8,4210.03,258000.0,921.0,0
Berlin,77.3,3,33,1,0,0,0,3.88,3.8,5790.8,447800.0,1599.0,0
Stuttgart,79.0,3,55,8,1,0,1,2.5,3.05,5676.62,448400.0,1602.0,7
Munich,49.3,2,12,1,1,0,0,8.45,3.85,10615.3,523400.0,1869.0,6
Berlin,106.6,4,55,0,0,1,0,1.16,2.92,4450.49,474600.0,1695.0,0
Hamburg,53.3,2,17,9,1,0,1,5.85,9.15,9233.72,492600.0,1759.0,4
Cologne,99.2,3,53,1,0,1,0,11.69,9.09,5809.83,576500.0,2059.0,1
